"Country_Year","Year","BronzeCount","SilverCount","GoldCount","TotalMedalCount","Density Value","GDP Value","Pop Value","DensityPerBronze","DensityPerSilver","DensityPerGold","DensityPerTotal","GDPPerBronze","GDPPerSilver","GDPPerGold","GDPPerTotal","PopulationPerBronze","PopulationPerSilver","PopulationPerGold","PopulationPerTotal"
"Afghanistan 2008","2008","1","0","0","1","40.51822057","10109296958","26427199","40.5182205700000000",NULL,NULL,"40.5182205700000000","10109296958.00000000",NULL,NULL,"10109296958.00000000","26427199.000000000000",NULL,NULL,"26427199.000000000000"
"Afghanistan 2012","2012","1","0","0","1","46.71125063","19907329906","30466479","46.7112506300000000",NULL,NULL,"46.7112506300000000","19907329906.00000000",NULL,NULL,"19907329906.00000000","30466479.000000000000",NULL,NULL,"30466479.000000000000"
"Algeria 1984","1984","2","0","0","2","8.982311251","53698548293","21393530","4.4911556255000000",NULL,NULL,"4.4911556255000000","26849274146.50000000",NULL,NULL,"26849274146.50000000","10696765.000000000000",NULL,NULL,"10696765.000000000000"
"Algeria 1992","1992","1","0","1","2","11.23057219","48003133347","26748303","11.2305721900000000",NULL,"11.2305721900000000","5.6152860950000000","48003133347.00000000",NULL,"48003133347.00000000","24001566673.50000000","26748303.000000000000",NULL,"26748303.000000000000","13374151.500000000000"
"Algeria 1996","1996","1","0","2","3","12.1695206","46941554225","28984634","12.1695206000000000",NULL,"6.0847603000000000","4.0565068666666667","46941554225.00000000",NULL,"23470777112.50000000","15647184741.66666667","28984634.000000000000",NULL,"14492317.000000000000","9661544.666666666667"
"Algeria 2000","2000","3","1","1","5","12.92106653","54790398570","30774621","4.3070221766666667","12.9210665300000000","12.9210665300000000","2.5842133060000000","18263466190.00000000","54790398570.00000000","54790398570.00000000","10958079714.00000000","10258207.000000000000","30774621.000000000000","30774621.000000000000","6154924.200000000000"
"Algeria 2008","2008","1","1","0","2","14.51442727","171000000000","34569592","14.5144272700000000","14.5144272700000000",NULL,"7.2572136350000000","171000000000.00000000","171000000000.00000000",NULL,"85500000000.00000000","34569592.000000000000","34569592.000000000000",NULL,"17284796.000000000000"
"Algeria 2012","2012","0","0","1","1","15.64426134","209000000000","37260563",NULL,NULL,"15.6442613400000000","15.6442613400000000",NULL,NULL,"209000000000.00000000","209000000000.00000000",NULL,NULL,"37260563.000000000000","37260563.000000000000"
"Algeria 2016","2016","0","2","0","2","16.93690834","160000000000","40339329",NULL,"8.4684541700000000",NULL,"8.4684541700000000",NULL,"80000000000.00000000",NULL,"80000000000.00000000",NULL,"20169664.500000000000",NULL,"20169664.500000000000"
"Argentina 1988","1988","12","1","0","13","11.57997143","127000000000","31690792","0.96499761916666666667","11.5799714300000000",NULL,"0.89076703307692307692","10583333333.33333333","127000000000.00000000",NULL,"9769230769.23076923","2640899.333333333333","31690792.000000000000",NULL,"2437753.230769230769"
"Argentina 1992","1992","2","0","0","2","12.26601661","229000000000","33568285","6.1330083050000000",NULL,NULL,"6.1330083050000000","114500000000.00000000",NULL,NULL,"114500000000.00000000","16784142.500000000000",NULL,NULL,"16784142.500000000000"
"Argentina 1996","1996","1","19","0","20","12.93144711","272000000000","35389362","12.9314471100000000","0.68060247947368421053",NULL,"0.64657235550000000000","272000000000.00000000","14315789473.68421053",NULL,"13600000000.00000000","35389362.000000000000","1862598.000000000000",NULL,"1769468.100000000000"
"Argentina 2000","2000","3","17","0","20","13.54584334","284000000000","37070774","4.5152811133333333","0.79681431411764705882",NULL,"0.67729216700000000000","94666666666.66666667","16705882352.94117647",NULL,"14200000000.00000000","12356924.666666666667","2180633.764705882353",NULL,"1853538.700000000000"
"Argentina 2004","2004","21","0","28","49","14.12976844","165000000000","38668796","0.67284611619047619048",NULL,"0.50463458714285714286","0.28836262122448979592","7857142857.14285714",NULL,"5892857142.85714286","3367346938.77551020","1841371.238095238095",NULL,"1381028.428571428571","789159.102040816327"
"Argentina 2008","2008","31","0","20","51","14.71623348","362000000000","40273769","0.47471720903225806452",NULL,"0.73581167400000000000","0.28855359764705882353","11677419354.83870968",NULL,"18100000000.00000000","7098039215.68627451","1299153.838709677419",NULL,"2013688.450000000000","789681.745098039216"
"Argentina 2012","2012","3","15","1","19","15.2495427","546000000000","41733271","5.0831809000000000","1.01663618000000000000","15.2495427000000000","0.80260751052631578947","182000000000.00000000","36400000000.00000000","546000000000.00000000","28736842105.26315789","13911090.333333333333","2782218.066666666667","41733271.000000000000","2196487.947368421053"
"Argentina 2016","2016","0","1","21","22","15.92813508","558000000000","43590368",NULL,"15.9281350800000000","0.75848262285714285714","0.72400614000000000000",NULL,"558000000000.00000000","26571428571.42857143","25363636363.63636364",NULL,"43590368.000000000000","2075731.809523809524","1981380.363636363636"
"Armenia 1996","1996","0","1","1","2","115.8727784","1596968946","3298898",NULL,"115.8727784000000000","115.8727784000000000","57.9363892000000000",NULL,"1596968946.00000000","1596968946.00000000","798484473.00000000",NULL,"3298898.000000000000","3298898.000000000000","1649449.000000000000"
"Armenia 2000","2000","1","0","0","1","111.2933966","1911563669","3168523","111.2933966000000000",NULL,NULL,"111.2933966000000000","1911563669.00000000",NULL,NULL,"1911563669.00000000","3168523.000000000000",NULL,NULL,"3168523.000000000000"
"Armenia 2008","2008","6","0","0","6","104.7917457","11662040714","2983421","17.4652909500000000",NULL,NULL,"17.4652909500000000","1943673452.33333333",NULL,NULL,"1943673452.33333333","497236.833333333333",NULL,NULL,"497236.833333333333"
